"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 11 13:31:29 UTC 2026","Thu Jun 11 13:31:29 UTC 2026","322","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturn400ForInvalidRegisterPayload","Deve retorna 400 para requests com payloads inválidos",""
"passed","Thu Jun 11 13:31:29 UTC 2026","Thu Jun 11 13:31:29 UTC 2026","182","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturn400ForInvalidRegisterPayload","Deve retorna 400 para requests com payloads inválidos",""
"passed","Thu Jun 11 13:31:27 UTC 2026","Thu Jun 11 13:31:28 UTC 2026","567","Surefire suite","Surefire test","userManagement.PostUserSuccessTest","userManagement.PostUserSuccessTest","shouldMatchResponseSchema","Deve retornar 200 e validar schema completo",""
"passed","Thu Jun 11 13:31:26 UTC 2026","Thu Jun 11 13:31:27 UTC 2026","215","Surefire suite","Surefire test","userManagement.GetUsersErrorTest","userManagement.GetUsersErrorTest","shouldReturnErrorWhenApiKeyIsInvalidOrMissing","Deve retornar 401 quando API Key estiver ausente e 403 quando inválida",""
"passed","Thu Jun 11 13:31:24 UTC 2026","Thu Jun 11 13:31:26 UTC 2026","2033","Surefire suite","Surefire test","userManagement.GetUsersErrorTest","userManagement.GetUsersErrorTest","shouldReturnEmptyListForNonExistingPage","Deve retornar lista vazia para página inexistente",""
"passed","Thu Jun 11 13:31:30 UTC 2026","Thu Jun 11 13:31:30 UTC 2026","324","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturnErrorWhenApiKeyIsInvalidOrMissing","Deve retornar 403 quando API Key é inválida e 401 quando API key é ausente",""
"passed","Thu Jun 11 13:31:29 UTC 2026","Thu Jun 11 13:31:30 UTC 2026","181","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturnErrorWhenApiKeyIsInvalidOrMissing","Deve retornar 403 quando API Key é inválida e 401 quando API key é ausente",""
"passed","Thu Jun 11 13:31:28 UTC 2026","Thu Jun 11 13:31:28 UTC 2026","63","Surefire suite","Surefire test","userManagement.GetUsersSuccessTest","userManagement.GetUsersSuccessTest","shouldValidateUsersSchema","Deve validar o schema da response de GET Usuário",""
"passed","Thu Jun 11 13:31:28 UTC 2026","Thu Jun 11 13:31:28 UTC 2026","375","Surefire suite","Surefire test","userManagement.GetUsersSuccessTest","userManagement.GetUsersSuccessTest","shouldReturnUsersListNotEmpty","Deve listar usuários da página 1 com sucesso",""
"passed","Thu Jun 11 13:31:29 UTC 2026","Thu Jun 11 13:31:29 UTC 2026","317","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturn400ForInvalidRegisterPayload","Deve retorna 400 para requests com payloads inválidos",""
"passed","Thu Jun 11 13:31:30 UTC 2026","Thu Jun 11 13:31:30 UTC 2026","189","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldValidateErrorSchema","Deve validar o schema da error response",""
"passed","Thu Jun 11 13:31:26 UTC 2026","Thu Jun 11 13:31:26 UTC 2026","365","Surefire suite","Surefire test","userManagement.GetUsersErrorTest","userManagement.GetUsersErrorTest","shouldReturnErrorWhenApiKeyIsInvalidOrMissing","Deve retornar 401 quando API Key estiver ausente e 403 quando inválida",""
"passed","Thu Jun 11 13:31:30 UTC 2026","Thu Jun 11 13:31:30 UTC 2026","189","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldValidateErrorSchema","Deve validar o schema da error response",""
"passed","Thu Jun 11 13:31:28 UTC 2026","Thu Jun 11 13:31:28 UTC 2026","329","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldReturn400ForInvalidRegisterPayload","Deve retorna 400 para requests com payloads inválidos",""
"passed","Thu Jun 11 13:31:30 UTC 2026","Thu Jun 11 13:31:31 UTC 2026","195","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldValidateErrorSchema","Deve validar o schema da error response",""
"passed","Thu Jun 11 13:31:30 UTC 2026","Thu Jun 11 13:31:30 UTC 2026","183","Surefire suite","Surefire test","userManagement.PostUserErrorTest","userManagement.PostUserErrorTest","shouldValidateErrorSchema","Deve validar o schema da error response",""
"passed","Thu Jun 11 13:31:27 UTC 2026","Thu Jun 11 13:31:27 UTC 2026","401","Surefire suite","Surefire test","userManagement.PostUserSuccessTest","userManagement.PostUserSuccessTest","shouldCreateUserSuccesfully","Deve retornar 200 e Content-Type JSON",""
